Date,Open,High,Low,Close,Adj Close,Volume
2013-04-18,50.919998,50.919998,50.919998,50.919998,46.707516,400
2013-04-19,50.919998,50.919998,50.919998,50.919998,46.707516,0
2013-04-22,50.919998,50.919998,50.919998,50.919998,46.707516,0
2013-04-23,52.220001,52.220001,52.220001,52.220001,47.899956,600
2013-04-24,51.700001,51.700001,51.560001,51.560001,47.294567,1100
2013-04-25,51.810001,51.810001,51.810001,51.810001,47.523891,400
2013-04-26,51.770000,51.770000,51.770000,51.770000,47.487190,100
2013-04-29,51.849998,52.200001,51.849998,52.070000,47.762371,4800
2013-04-30,51.619999,51.930000,51.619999,51.840000,47.551403,1400
2013-05-01,51.799999,51.799999,51.799999,51.799999,47.514709,100
2013-05-02,51.820000,52.040001,51.820000,52.029999,47.725681,2500
2013-05-03,52.650002,52.730000,52.599998,52.619999,48.266872,1000
2013-05-06,53.060001,53.060001,52.500000,52.540001,48.193493,19500
2013-05-07,52.590000,52.590000,52.549999,52.560001,48.211845,1500
2013-05-08,52.740002,52.820000,52.740002,52.820000,48.450325,1600
2013-05-09,52.860001,52.910000,52.770000,52.830002,48.459499,4700
2013-05-10,53.490002,53.490002,52.950001,52.950001,48.569580,700
2013-05-13,53.189999,53.200001,53.090000,53.090000,48.697990,4200
2013-05-14,53.320000,53.560001,53.320000,53.549999,49.119946,2200
2013-05-15,53.740002,54.029999,53.709999,53.730000,49.285038,3400
2013-05-16,53.580002,53.619999,53.500000,53.500000,49.074074,5700
2013-05-17,53.599998,53.599998,53.369999,53.389999,48.973167,2800
2013-05-20,53.400002,53.400002,53.299999,53.320000,48.908958,4300
2013-05-21,53.540001,53.549999,53.540001,53.549999,49.119946,600
2013-05-22,53.880001,53.880001,53.259998,53.259998,48.853920,1900
2013-05-23,52.669998,53.139999,52.669998,53.139999,48.743851,700
2013-05-24,53.180000,53.180000,53.130001,53.169998,48.771378,1200
2013-05-28,53.810001,53.860001,53.259998,53.410000,48.991516,4000
2013-05-29,53.000000,53.000000,52.619999,52.689999,48.331089,2500
2013-05-30,52.889999,52.919998,52.730000,52.730000,48.367767,13000
2013-05-31,52.529999,52.540001,52.000000,52.000000,47.698154,2400
2013-06-03,51.500000,51.709999,51.439999,51.709999,47.432152,2100
2013-06-04,51.639999,51.680000,51.279999,51.680000,47.404648,8400
2013-06-05,51.259998,51.270000,50.810001,50.970001,46.753368,5400
2013-06-06,50.660000,51.349998,50.660000,51.349998,47.101944,9900
2013-06-07,52.009998,52.209999,51.910000,52.209999,47.890789,1300
2013-06-10,53.000000,53.000000,52.000000,52.110001,47.799061,8500
